time,action,source,destination,accountValueChange,fee
9/30/2025 - 19:15:17,deposit,arbitrum,perps,10306.58 USDC,0 USDC
9/30/2025 - 23:34:19,withdrawal,perps,arbitrum,-1 USDC,1 USDC
9/30/2025 - 23:40:45,withdrawal,perps,arbitrum,-4 USDC,1 USDC
9/30/2025 - 23:57:06,withdrawal,perps,arbitrum,-4809 USDC,1 USDC
10/1/2025 - 01:11:09,withdrawal,perps,arbitrum,-2216 USDC,1 USDC
10/1/2025 - 02:29:05,withdrawal,perps,arbitrum,-5556 USDC,1 USDC
10/1/2025 - 06:00:10,withdrawal,perps,arbitrum,-5148 USDC,1 USDC
10/1/2025 - 13:25:23,deposit,arbitrum,perps,1142.79 USDC,0 USDC
10/1/2025 - 13:41:10,deposit,arbitrum,perps,1713.79 USDC,0 USDC
10/1/2025 - 14:55:04,withdrawal,perps,arbitrum,-3892.653198 USDC,1 USDC
10/1/2025 - 14:55:12,deposit,arbitrum,perps,3892.65 USDC,0 USDC
10/1/2025 - 14:56:31,deposit,arbitrum,perps,572.92 USDC,0 USDC
10/1/2025 - 18:29:43,withdrawal,perps,arbitrum,-1673.900356 USDC,1 USDC
10/2/2025 - 00:31:07,deposit,arbitrum,perps,3141.79 USDC,0 USDC
10/2/2025 - 00:51:20,deposit,arbitrum,perps,2461.24 USDC,0 USDC
10/2/2025 - 04:13:32,withdrawal,perps,arbitrum,-3614.019455 USDC,1 USDC
10/2/2025 - 04:13:42,deposit,arbitrum,perps,3614.02 USDC,0 USDC
10/2/2025 - 04:28:58,withdrawal,perps,arbitrum,-3441.222807 USDC,1 USDC
10/3/2025 - 00:09:36,deposit,arbitrum,perps,1254.78 USDC,0 USDC
10/3/2025 - 00:19:42,withdrawal,perps,arbitrum,-1181.233785 USDC,1 USDC
10/5/2025 - 23:55:52,deposit,arbitrum,perps,4503.78 USDC,0 USDC
10/6/2025 - 01:12:09,withdrawal,perps,arbitrum,-2940.881397 USDC,1 USDC
10/12/2025 - 14:31:08,deposit,arbitrum,perps,2900.49 USDC,0 USDC
