"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x3a524ea58a958b0bd972643937053cbf162908fd215fa052ca1f1072677547dc","384662765","1759252181","2025-09-30 17:09:41","0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0.79","$0.79","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x83ebb92b4d7a032d62c64fce0298e903e3c6dec6757e916ff103d5664409a470","384663252","1759252303","2025-09-30 17:11:43","0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","10,305.79","$10,302.74","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x0c09aa5ff04a4cdf574ebf3a3bc3bc77e9cd6bad914cc29437e7667f3dc5835c","384664097","1759252513","2025-09-30 17:15:13","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0x2df1c51e09aecf9cacb7bc98cb1742757f163df7","10,306.58","$10,303.53","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xb77b4a06a40e2922d3eaf5983e264b9c986d1bc08fe4ff3621b7d550564a8bd2","384726316","1759268052","2025-09-30 21:34:12","0x2df1c51e09aecf9cacb7bc98cb1742757f163df7","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","1","$1.00","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x63dcf73d40dc09500030b1cc67a5ecc169cff0f0888084b467eed199cdbd3aa3","384727851","1759268435","2025-09-30 21:40:35","0x2df1c51e09aecf9cacb7bc98cb1742757f163df7","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","4","$4.00","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x06c3adeab2b3933810be9f7105c03991f4ec467d890887840ecc18237e1380f8","384730207","1759269023","2025-09-30 21:50:23","0x912ce59144191c1204e64559fe8253a0e49e6548","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","5,000","N/A","0x44210862f7d78826aa13b0dae1148fc5264b4176","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x66fb86d744475267887837e46311fe70106b1cd962de1a6706d375ee7cbd55c4","384731781","1759269417","2025-09-30 21:56:57","0x2df1c51e09aecf9cacb7bc98cb1742757f163df7","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","4,809","$4,807.58","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x9b29d8d41710323b5b3f575c74e597c323ab7268890491e5cf65475475b4ea2c","384732597","1759269621","2025-09-30 22:00:21","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0xf23f82cff96d72dd8a8d1040cce21af3c55b7276","2","$2.00","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xa1b7ee7caba7e55b88c2856f9f86b2d132bd4e6e0c8aba6d47112b736ff60ec1","384732729","1759269654","2025-09-30 22:00:54","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0xf23f82cff96d72dd8a8d1040cce21af3c55b7276","4,812","$4,810.58","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x1b0857688c66c998fbf043c641c6580ab5ab8a9ac41181cd97adf755414b8d07","384734513","1759270101","2025-09-30 22:08:21","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0xf23fc49699d17a2f8340b259c3720ebbae090276","4,812","N/A","0x4595bacf19b28f2799a2d50da01d6bea6a9fbfa0","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x9a0cf03537b5c68f0ff0ce0aa674ab0671308e9087ba2568c6649e1923ce20fd","384735161","1759270262","2025-09-30 22:11:02","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0xf23f1a7f041b48c34ed8d5f00f41ff0da7e27276","4,812","N/A","0x06d81db8464bc020051acfea2d734e90da611e1a","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x9626afab5a9b11ce2767ae6569640042f2f6de57a37041e8aaae02081bfde8fc","384735345","1759270309","2025-09-30 22:11:49","0xf23f1a7f041b48c34ed8d5f00f41ff0da7e27276","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0.00001","$0.00","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x9ae95181dbcee56f2df22df9e0cf24692161d595f0df1b6ecb21c28c14020b03","384735579","1759270367","2025-09-30 22:12:47","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0xf23fc49699d17a2f8340b259c3720ebbae090276","0","$0.00","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x5402f7f0562f72fbacf9b2da658285e8205f987ef85b10063a291d931dfc6ae5","384735653","1759270386","2025-09-30 22:13:06","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0xf23f1a7f041b48c34ed8d5f00f41ff0da7e27276","0","$0.00","0xff970a61a04b1ca14834a43f5de4533ebddb5cc8","Bridged USDC","USDC.e"
"0x9784e1d70e45b1437d0e446ffad396cda0d22a380262bae24709a4626da704da","384735944","1759270459","2025-09-30 22:14:19","0xf23fc49699d17a2f8340b259c3720ebbae090276","0x57558311e48f2de1667599dc8a74e1bb97dfe94e","0.00001","$0.00","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
