Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
P13G8oQ7xq1aUwVJuzaNpFpWuKfGew46GX2hEp8sw8NMpDmgLxTftB3UiQrmREzAUCtcs8o5oDFr76c13qvnGYC,1769564049,2026-01-28T01:34:09.000Z,TRANSFER,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,82yWhv31F5GsdXdwbFxJia26t3GRT1Po84Trn8JoK6g6,1469128696,out,186.16,9,SOL,1.0
2BvsnS7bhuK6Yq3xpeZtpBdFETcPqCVYKdNvqP58zqBRDxP1B8DByatZsb97xDZU4LcnGcVuWU75B1BWydZVHxYB,1769563995,2026-01-28T01:33:15.000Z,TRANSFER,9YFeuz8q9WMSJpeNhNHj6LSbZnQ6BvDt5u9CV2ALhPWv,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,1443336700,in,182.86,9,SOL,1.0
3zr9SPym8ARPa871r3VXrnQKNpA3LQAEZQXtMeYTTeu4bigsL6UogxERUgc5tradFhfZTi2BfRRZt1MvKaoVtHA5,1764258662,2025-11-27T15:51:02.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,226399118287,in,197.14,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3U3kbeaERkAQYo1eTTsJW9dU9TAwrnf8kbJzdzoV47z6bKYQpmVGmKoRAg7RHbWW2H9gki6jL8kYQVmA52xkLEbt,1764199321,2025-11-26T23:22:01.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,160968004585,in,140.17,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
2dxdDS8CecYw3uFQXkwGsKzZWPr1sM9xCJkExLg1EScJvqH28hNXmQDEvDvuHJty7q3iDs2rWRhHAKZpF9GBczCF,1764141754,2025-11-26T07:22:34.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,126907288660,in,110.51,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
4JHNbvNEeDbG3AXb52V563wfg7q6dUR8n5XyonU9yJT2sqp7ckZ5tCERfSDjGtvaT9Kj7stMtEVVqCzKNqrnXDtq,1764084115,2025-11-25T15:21:55.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,148715822950,in,129.5,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3s3h9jbaBysELejg2QKZKCVmyUesTVZzn4h43pyGHEBjaiEEuTQRzoZsH8AvazbtxTdokmmgN7tKdPGcA8zXwicZ,1764026634,2025-11-24T23:23:54.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,168965940540,in,147.13,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3bcCRCWJyKaEcRHyiGyj2pGVofNCzYJTcKSCXvtR4bK5BBURm78STLGsQHQDcB7XRT11kSDqmtTsDn8r1BYVs5Y1,1763968241,2025-11-24T07:10:41.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,220416194232,in,191.93,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
VeLBN1DyDxiHG2PsCWn9cJZiqd9BPwBUuUXZWaepphBJXGCa7DpGcQFERwxWFL5zRwo5h72PEPV6Gj5DN6r7WGv,1763909841,2025-11-23T14:57:21.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,201697857667,in,175.63,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
n5yBDR8qMRtByjUuYyyRBeiS3p3QzcT4gammY9mFek5F46BdkWshP2y4y8xoTgqL8HF4iHx5ambX5UKn35Q6jBg,1763852171,2025-11-22T22:56:11.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,167392828293,in,145.76,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
