Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
2vag3MVPZV5cm8RmGV9cHWdnRa4NKvbd8nkJ4xqxVFhvRy2DBCtaMzBYoQbeN5MUi9Tzuqv9qd3e4ACgcgwrUMNs,1759513016,2025-10-03T17:36:56.000Z,TRANSFER,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,DrFaNXQ99cbcBcmVTQfvxbXX29WDA2BFT49rtsGBenDy,5019628074,out,1168.98,9,SOL,1.0
235qMehMZV5gkXD6uovTaSzirTLrXBGjhw5ue8VZes56gQdbJB9XxXNTFEtMQ5uWZerQPcV48SZiVChdzRWPNzk4,1759512961,2025-10-03T17:36:01.000Z,TRANSFER,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,6MgjyQU7G988jgL6EGAgfHYoeesCnwYMyPeh1fpJ71FP,10000000,out,2.3278,9,SOL,1.0
235qMehMZV5gkXD6uovTaSzirTLrXBGjhw5ue8VZes56gQdbJB9XxXNTFEtMQ5uWZerQPcV48SZiVChdzRWPNzk4,1759512961,2025-10-03T17:36:01.000Z,TRANSFER,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,8vFGAKdwpn4hk7kc1cBgfWZzpyW3MEMDATDzVZhddeQb,52482281,out,12.22,9,SOL,1.0
235qMehMZV5gkXD6uovTaSzirTLrXBGjhw5ue8VZes56gQdbJB9XxXNTFEtMQ5uWZerQPcV48SZiVChdzRWPNzk4,1759512961,2025-10-03T17:36:01.000Z,CLOSE ACCOUNT,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,5053089167,out,1176.24,9,SOL,1.0
235qMehMZV5gkXD6uovTaSzirTLrXBGjhw5ue8VZes56gQdbJB9XxXNTFEtMQ5uWZerQPcV48SZiVChdzRWPNzk4,1759512961,2025-10-03T17:36:01.000Z,TRANSFER,FCtRLKey79np5pEXkPv6QTSUfq9rSRvwBmMoAxMxvxsA,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,5051049887,in,1175.59,9,So11111111111111111111111111111111111111112,1.0
235qMehMZV5gkXD6uovTaSzirTLrXBGjhw5ue8VZes56gQdbJB9XxXNTFEtMQ5uWZerQPcV48SZiVChdzRWPNzk4,1759512961,2025-10-03T17:36:01.000Z,TRANSFER,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,FCtRLKey79np5pEXkPv6QTSUfq9rSRvwBmMoAxMxvxsA,3732755133480,out,1182.68,6,Dqu4FVcyvwefq1PJsSSYA82Sh42LCz7WPY9qtCmrpump,1.0
235qMehMZV5gkXD6uovTaSzirTLrXBGjhw5ue8VZes56gQdbJB9XxXNTFEtMQ5uWZerQPcV48SZiVChdzRWPNzk4,1759512961,2025-10-03T17:36:01.000Z,CREATE ACCOUNT,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,9gWabNPDZ9zKzbi3W64NiqBHD72C6BcoGtVupi34tVnU,2039280,out,0.4747,9,SOL,1.0
3z3Mvnx8wLHjQL6wSxWcdrv7yb9hn7B3Aa8GKRBrmEZvN7N5ZTUNKeWFNrXicu4dnQ66hNmJA6NbTp1X5YkP6LjL,1759512780,2025-10-03T17:33:00.000Z,TRANSFER,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,axm2JQY1FKEktAwgXWqjGYkkWsWPfwKzgbnGVt5kiP4,10000000,out,2.3171,9,SOL,1.0
3z3Mvnx8wLHjQL6wSxWcdrv7yb9hn7B3Aa8GKRBrmEZvN7N5ZTUNKeWFNrXicu4dnQ66hNmJA6NbTp1X5YkP6LjL,1759512780,2025-10-03T17:33:00.000Z,TRANSFER,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,8m5GkL7nVy95G4YVUbs79z873oVKqg2afgKRmqxsiiRm,12000000,out,2.7805,9,SOL,1.0
3z3Mvnx8wLHjQL6wSxWcdrv7yb9hn7B3Aa8GKRBrmEZvN7N5ZTUNKeWFNrXicu4dnQ66hNmJA6NbTp1X5YkP6LjL,1759512780,2025-10-03T17:33:00.000Z,CLOSE ACCOUNT,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,CFdKDJzQLNjYE2p5CdtbiLrJTAAm7JtbapnVGpAoBLqt,14039282,out,3.253,9,SOL,1.0
