time,coin,dir,px,sz,ntl,fee,closedPnl
9/30/2025 - 19:16:19,XPL,Open Long,1.014,100,101.4,0.04563,-0.04563
9/30/2025 - 19:16:48,XPL,Close Long,1.0108,100,101.08,0.045486,-0.365486
9/30/2025 - 19:17:14,XPL,Open Long,1.0131647567,30000,30394.942701,13.677718,-13.677718
9/30/2025 - 19:19:04,XPL,Close Long,1.0122135967,30000,30366.407901000002,13.66488,-42.17698
9/30/2025 - 19:20:03,XPL,Open Long,1.0114758165,50613,51193.8255005145,23.037219,-23.037219
9/30/2025 - 19:54:49,XPL,Close Long,1.052385478,50613,53264.386198014,23.968969,2046.6330560000001
9/30/2025 - 19:55:30,XPL,Open Short,1.0508,39408,41409.9264,6.211488,-6.211488
9/30/2025 - 19:55:31,XPL,Open Short,1.0508,318,334.1544,0.050123,-0.050123
9/30/2025 - 19:55:32,XPL,Open Short,1.0508,4613,4847.3404,0.7271,-0.7271
9/30/2025 - 20:10:58,XPL,Close Short,1.053,44339,46688.967,21.010035,-118.555835
9/30/2025 - 20:12:56,XPL,Open Short,1.0532,41,43.1812,0.006477,-0.006477
9/30/2025 - 20:13:24,XPL,Close Short,1.0471,41,42.931099999999994,0.019318,0.230782
9/30/2025 - 20:15:14,XPL,Open Short,1.042,374,389.708,0.058456,-0.058456
9/30/2025 - 20:15:16,XPL,Open Short,1.042,29,30.218,0.004532,-0.004532
9/30/2025 - 20:15:17,XPL,Open Short,1.042,9323,9714.566,1.457184,-1.457184
9/30/2025 - 20:15:18,XPL,Open Short,1.042,1282,1335.844,0.200376,-0.200376
9/30/2025 - 20:15:18,XPL,Open Short,1.042,49,51.058,0.007658,-0.007658
9/30/2025 - 20:15:18,XPL,Open Short,1.042,50,52.1,0.007814,-0.007814
9/30/2025 - 20:15:22,XPL,Open Short,1.042,14,14.588000000000001,0.002188,-0.002188
9/30/2025 - 20:15:22,XPL,Open Short,1.042,17,17.714000000000002,0.002657,-0.002657
9/30/2025 - 20:15:22,XPL,Open Short,1.042,115,119.83,0.017974,-0.017974
